Date,Code,CompanyName,CompanyNameEnglish,Sector17Code,Sector17CodeName,Sector33Code,Sector33CodeName,ScaleCategory,MarketCode,MarketCodeName
2023-05-10,76180,ピーシーデポコーポレーション,PC DEPOT CORPORATION,14,小売,6100,小売業,TOPIX Small 2,0111,プライム
2023-05-10,76190,田中商事,"TANAKA CO.,LTD.",13,商社・卸売,6050,卸売業,TOPIX Small 2,0112,スタンダード
2023-05-10,76210,うかい,"UKAI CO.,LTD.",14,小売,6100,小売業,-,0112,スタンダード
2023-05-10,76230,サンオータス,"SUNAUTAS CO.,LTD.",14,小売,6100,小売業,-,0112,スタンダード
2023-05-10,76240,ＮａＩＴＯ,"Naito & Co.,Ltd.",13,商社・卸売,6050,卸売業,-,0112,スタンダード
2023-05-10,76250,グローバルダイニング,"GLOBAL-DINING,INC.",14,小売,6100,小売業,-,0112,スタンダード
2023-05-10,76280,オーハシテクニカ,OHASHI TECHNICA INC.,13,商社・卸売,6050,卸売業,TOPIX Small 2,0111,プライム
2023-05-10,76300,壱番屋,"ICHIBANYA CO.,LTD.",14,小売,6100,小売業,TOPIX Small 1,0111,プライム
2023-05-10,76340,星医療酸器,"HOSHIIRYO-SANKI CO.,LTD.",13,商社・卸売,6050,卸売業,-,0112,スタンダード
2023-05-10,76350,杉田エース,"SUGITA ACE CO.,LTD.",13,商社・卸売,6050,卸売業,-,0112,スタンダード
2023-05-10,76360,ハンズマン,"HANDSMAN CO.,LTD",14,小売,6100,小売業,-,0112,スタンダード
2023-05-10,76370,白銅,"Hakudo Co.,Ltd.",13,商社・卸売,6050,卸売業,TOPIX Small 2,0111,プライム
2023-05-10,76380,ＮＥＷ　ＡＲＴ　ＨＯＬＤＩＮＧＳ,"NEW ART HOLDINGS Co.,Ltd.",14,小売,6100,小売業,-,0112,スタンダード
2023-05-10,76400,トップカルチャー,"TOP CULTURE Co.,Ltd.",14,小売,6100,小売業,TOPIX Small 2,0112,スタンダード
2023-05-10,76430,ダイイチ,"DAIICHI CO.,LTD.",14,小売,6100,小売業,-,0112,スタンダード
2023-05-10,76460,ＰＬＡＮＴ,"PLANT Co.,Ltd.",14,小売,6100,小売業,TOPIX Small 2,0112,スタンダード
2023-05-10,76470,音通,"ONTSU Co.,Ltd.",14,小売,6100,小売業,-,0112,スタンダード
2023-05-10,76490,スギホールディングス,"SUGI HOLDINGS Co.,LTD.",14,小売,6100,小売業,TOPIX Mid400,0111,プライム
2023-05-10,76700,オーウエル,O-WELL CORPORATION,13,商社・卸売,6050,卸売業,-,0112,スタンダード
2023-05-10,76710,ＡｍｉｄＡホールディングス,"AmidA Holdings Co.,Ltd.",14,小売,6100,小売業,-,0113,グロース
2023-05-10,76730,ダイコー通産,"DAIKO TSUSAN CO.,LTD.",13,商社・卸売,6050,卸売業,TOPIX Small 2,0112,スタンダード
2023-05-10,76740,ＮＡＴＴＹ　ＳＷＡＮＫＹホールディングス,"NATTY SWANKY holdings Co.,Ltd.",14,小売,6100,小売業,-,0113,グロース
2023-05-10,76760,グッドスピード,"GOODSPEED.CO.,LTD.",14,小売,6100,小売業,-,0113,グロース
2023-05-10,76770,ヤシマキザイ,"Yashima & Co.,Ltd.",13,商社・卸売,6050,卸売業,-,0112,スタンダード
2023-05-10,76780,あさくま,"ASAKUMA CO.,LTD.",14,小売,6100,小売業,-,0112,スタンダード
2023-05-10,76790,薬王堂ホールディングス,"YAKUODO HOLDINGS Co.,Ltd.",14,小売,6100,小売業,TOPIX Small 2,0111,プライム
2023-05-10,76800,軽自動車館,"KEIJIDOUSHAKAN.Co.,Ltd.",14,小売,6100,小売業,-,0105,TOKYO PRO MARKET
2023-05-10,76810,レオクラン,"LEOCLAN Co.,Ltd.",13,商社・卸売,6050,卸売業,-,0112,スタンダード
2023-05-10,76820,浜木綿,"HAMAYUU CO.,LTD.",14,小売,6100,小売業,-,0112,スタンダード
2023-05-10,76830,ダブルエー,"WA,Inc.",14,小売,6100,小売業,-,0113,グロース
2023-05-10,76850,ＢｕｙＳｅｌｌ　Ｔｅｃｈｎｏｌｏｇｉｅｓ,"BuySell Technologies Co.,Ltd.",13,商社・卸売,6050,卸売業,-,0113,グロース
2023-05-10,76860,カクヤスグループ,"Kakuyasu Group Co.,Ltd.",13,商社・卸売,6050,卸売業,-,0112,スタンダード
2023-05-10,76870,ミクリード,"MICREED Co.,Ltd.",13,商社・卸売,6050,卸売業,-,0113,グロース
